Code,species,Seed ID,Source code,Client,Project,Removed,Cleaned,Seedlot notes,100 sd wt (g),Seed per g,Available g,Stored g,Reserved g,100 sd wt (lb),Seed per lb,Available lb,Stored lb,Reserved lb,Available Sd,Stored Sd,Reserved Sd,Purity,Fill,Viability (TZ),Germ,Moisture,Est. PLS,Ecoregion,Prov. SZ,Tracking ID,date_collected,Site Name,Elevation,Latitude,Longitude,Forest/Park (near),Collection Notes,Last used date,Last action,Last used wt (g),Last used wt (lb),Last used project,FLAP,BSE
LICO,Lilium columbianum,LICO-RST-MARYSPK-19-1,LICO-RST-30-35/<2-G0-3600-MARYSPK-19-1,RST,Mary's Peak,FALSE,TRUE,,0.34,294.12,0.275,0.275,0,0.00075,,0.000606,0.000606,0,81,80,0,,90,,,,73,,30-35/<2,,1-Jan-19,,3600,,,Siuslaw,!imported; ,2/18/2025,strat/sow,-0.255,,Mary's Peak,FALSE,0
LICO,Lilium columbianum,LICO-RST-Rogue-Siskyou-2021-1,LICO-RST-3035/2-3-G0-RogueRiverSiskyou-G0-1950-21,RST,Unassigned - RST,FALSE,TRUE,,0.28,357.14,1.64,1.64,0,0.000617,,0.003616,0.003616,0,586,585,0,,65,,,,381,,30-35/<2,,1-Jan-21,,1950,,,Rogue River Siskiyou,!imported; ,2021,add (store),1.64,,,FALSE,0
LICO,Lilium columbianum,Lico-RST-silvercreek-21-1,Lico-RST-silvercreek-21-1,RST,Unassigned - RST,FALSE,TRUE,,0.28,357.14,1.22,1.22,0,0.000617,,0.00269,0.00269,0,436,435,0,,79,,,,344,,,,1-Jan-21,,,,,,!imported; ,2021,add (store),1.22,,,FALSE,0
LICO,Lilium columbianum,Lico-RST-RRS-21-1,LICO-RST-3035/<2-G0-2600-RRS-21,RST,Unassigned - RST,FALSE,TRUE,,0.28,357.14,1.2,1.2,0,0.000617,,0.002646,0.002646,0,429,428,0,,79,,,,339,,30-35/<2,,1-Jan-21,,2600,,,Rogue River Siskiyou,!imported; ,2021,add (store),1.2,,,FALSE,0
LICO,Lilium columbianum,RST21-50,LICO-RST-3035/0306-G0-<10-HCRHST-E-21,RST,HCRHST,FALSE,TRUE,'RST21-50,0.2,500,0.06,0.06,0,0.000441,,0.000132,0.000132,0,30,30,0,100,72.7,,,,22,,30-35/3-6,,1-Jan-21,,900,,,Columbia River Gorge NSA,!imported; ,2021,add (store),0.06,,,FALSE,0
LICO,Lilium columbianum,LICO-18-2017-01,LICO-RST-30-35/<2-G0-SFMCKENZIE-17,RST,SF McKenzie,FALSE,TRUE,,0.27,370.37,0,20.55,20.55,0.000595,,0,0.045305,0.045305,0,7611,7611,,90,,,,0,,30-35/<2,,1-Jan-17,,1200,,,Willamette,!imported; ,5/5/2024,import,-1.24,,,FALSE,0
LOGR,Lomatium grayi,RST21-39,LOGR-RST-3035/0306-G0-<10-HCRHST-E-21,RST,HCRHST,FALSE,TRUE,,0.46,217.39,33.12,33.12,0,0.001014,,0.073017,0.073017,0,7200,7199,0,,0,,,,0,,30-35/3-6,,1-Jan-21,,900,,,Columbia River Gorge NSA,!imported; ,2021,add (store),33.12,,,FALSE,0
LOGR,Lomatium grayi,RST22-02,LOGR-RST-2530/0306-G0-08-HCRHSTE-22,RST,HCRHST,FALSE,TRUE,'RST22-02,1.52,65.79,105.865,105.865,0,0.003351,,0.233392,0.233392,0,6965,6964,0,99,82,,,,5711,,30-35/3-6,,1-Jan-22,,800,,,Mt. Hood,!imported; ,5/5/2024,import,-8.089,,,FALSE,0
LOMA5,Lomatium martindalei,LOMA5-RST-MARYSPEAK-2020-1,LOMA5-RST-3035/<2-GO-4000-MARYSPEAK-20,RST,Mary's Peak,FALSE,TRUE,,0.34,294.12,9.47,9.47,0,0.00075,,0.020878,0.020878,0,2785,2785,0,100,70,,,,1949,,30-35/<2,,1-Jan-20,,3600,44.503657,-123.552784,Siuslaw,!imported; ,2/18/2025,strat/sow,-1.46,,Mary's Peak,FALSE,0
LOCR,Lotus crassifolius,LOCR-15-2011-1,Tiller ReRoute-11-1,RST,Tiller ReRoute,FALSE,TRUE,[appended source code Tiller ReRoute to make unique],,,148.69,148.69,0,,,0.327805,0.327805,0,,,,,,,,,,,30-35/2-3,,1-Jan-11,,1000,,,Umpqua,!imported; ,5/5/2024,import,-5.62,,,FALSE,0
LUPE,Luetkea pectinata,0110-68,LUPE-01-675-01-100-66-MTB-10,RST,Sunriver,FALSE,TRUE,,0.004,25000,1.67,1.67,0,0.000009,,0.003682,0.003682,0,41750,41750,0,55,85,,,,35488,,20-25/3-6,,1-Jan-10,,4100,,,Deschutes,!imported from SS; ,5/5/2024,import,-0.14,,,FALSE,0
LUAR3,Lupinus argenteus,FHWA-0108-10,LUAR5-01-SO.CENTURY-56-08,RST,South Century,FALSE,TRUE,,2.37,42.19,44.04,44.04,0,0.005225,,0.097092,0.097092,0,1858,1858,0,96,93,,,,1728,,15-20/3-6,,1-Jan-08,,4000,,,Deschutes,!imported; ,5/5/2024,import,-97.48,,,FALSE,0
LUAR3,Lupinus argenteus,LUAR3-2-2018-1,LUAR3-RST-2025/3-6-G0-KLAMATHLAKE-18,RST,Klamath Lake,FALSE,TRUE,,2.07,48.31,55.69,55.69,0,0.004564,,0.122775,0.122775,0,2690,2690,0,,90,,,,2421,,20-25/3-6,,1-Jan-18,,4250,42.227099,-121.797952,Fremont,!imported; ,5/5/2024,import,-46.04,,,FALSE,0
LUCAU,Lupinus caespitosus var. utahensis,LUPS-01-2009-1,Sun River -Mt. Bachelor,RST,Sunriver,FALSE,TRUE,,2.16,46.3,107.02,107.02,0,0.004762,,0.235939,0.235939,0,4955,4955,0,,,,,,,,20-25/3-6,,1-Jan-09,,4100,,,Deschutes,!imported; ,2009,add (store),107.02,,,FALSE,0
LULA4,Lupinus latifolius,0616-07,LULA4-06-452-05-100-30/42-08-1,RST,Timberline Lodge,FALSE,TRUE,[appended source code 'LULA4-06-452-05-100-30/42-08' to make unique],2.295,43.57,0,104.42,104.42,0.00506,,0,0.230207,0.230207,0,4549,4550,99,92,,,,0,,,,1-Jan-16,,,,,,!imported from SS; ,5/5/2024,import,0,,,FALSE,0
LULA4,Lupinus latifolius,LULA4-RST-FLWAOR-22-1,LULA4-RST-3035/<2-G0-0344-FLWAOR-22,RST,FLAP OR,FALSE,TRUE,,1.967,50.84,173.8,173.8,0,0.004336,,0.383163,0.383163,0,8836,8835,0,,76,,,,6715,,30-35/<2,,1-Jan-22,,4400,,,,!imported; ,2022,add (store),173.8,,,TRUE,0
LULA4,Lupinus latifolius,RST21-37,LULA4-RST-3035/0306-G0-<10-HCRHST-W-21,RST,HCRHST,FALSE,TRUE,'RST21-37,1.47,68.03,76.59,76.59,0,0.003241,,0.168852,0.168852,0,5210,5210,0,99,94,,,,4897,,30-35/3-6,,1-Jan-21,,900,,,Columbia River Gorge NSA,!imported; ,5/6/2024,strat/sow,-7.4,,HCRHST,FALSE,0
LULA4,Lupinus latifolius,0608-06,LULA4-06-452-05-100-30/42-08,RST,Timberline Lodge,FALSE,TRUE,,1.95,51.28,0,53.14,53.14,0.004299,,0,0.117154,0.117154,0,2725,2725,99,95,,,,0,,,,1-Jan-08,,,,,,!imported from SS; ,5/5/2024,import,-55.82,,,FALSE,0
LUPO2,Lupinus polyphyllus,FHWA-0110-62,LUPO2-01-681-FH-40-SOCENTURY-10,RST,South Century,FALSE,TRUE,,1.84,54.35,24.93,24.93,0,0.004057,,0.054961,0.054961,0,1355,1354,0,94,75,,,,1016,,15-20/3-6,,1-Jan-10,,4000,,,Deschutes,!imported; ,5/5/2024,import,-9.54,,,FALSE,0
LURI,Lupinus rivularis,LURI-RST-MARYSPEAK-20-1,LURI-RST-3035/<2-G0-4000-MARYSPEAK-20,RST,Mary's Peak,FALSE,TRUE,,4,25,6.32,6.32,0,0.008818,,0.013933,0.013933,0,158,158,0,,90,,,,142,,30-35/<2,,1-Jan-20,,4000,,,Siuslaw,!imported; ,2020,add (store),6.32,,,FALSE,0
MAAQ2,Mahonia aquifolium,MAAQ2-RST-HILLSCRK-2021-1,MAAQ-RST-3035/<2-G0-1300-Hillscreek-2021-1,RST,Hills Creek,FALSE,TRUE,,1.43,69.93,15.57,15.57,0,0.003153,,0.034326,0.034326,0,1089,1088,0,,83,,,,904,,30-35/<2,,1-Jan-21,,1300,,,Willamette,!imported; ,5/5/2024,import,-9.62,,,FALSE,0
MAAQ2,Mahonia aquifolium,MAAQ2-RST-HCRHSTW-2021-1,MAAQ2-RST-3035/3-6-G0-0400-HCRHSTW-21,RST,HCRHST,FALSE,TRUE,,1.19,84.03,59.49,59.49,0,0.002624,,0.131153,0.131153,0,4999,4998,0,,87,,,,4349,,30-35/3-6,,1-Jan-21,,400,,,Mt. Hood,!imported; ,2021,add (store),59.49,,,FALSE,0
MAAQ2,Mahonia aquifolium,MAAQ2-KLAMATHLAKE-2018-2,MAAQ2-RST-2025/3-6-G0-KLAMATHLAKE-18-2,RST,Klamath Lake,FALSE,TRUE,[appended source code MAAQ2-RST-2025/3-6-G0-KLAMATHLAKE-18 to make unique],1.01,99.01,296.59,296.59,0,0.002227,,0.653869,0.653869,0,29365,29365,0,,96,,,,28190,,20-25/3-6,,1-Jan-18,,4100,42.381027,-121.970057,Fremont,!imported; ,1/21/2025,strat/sow,-0.61,,Klamath County,FALSE,0
MAAQ2,Mahonia aquifolium,MAAQ2-KLAMATHLAKE-2018-1,MAAQ2-RST-2025/3-6-G0-KLAMATHLAKE-18,RST,Klamath Lake,FALSE,TRUE,,1.58,63.29,6.45,6.45,0,0.003483,,0.01422,0.01422,0,408,408,0,,96,,,,392,,20-25/3-6,,1-Jan-18,,4100,42.381027,-121.970057,Fremont,!imported; ,5/5/2024,import,-9.49,,,FALSE,0
MANE2,Mahonia nervosa,MANE2-RST-HILLSCRK-23-1,MANE2-RST-3035/<2-G0-1681-Hillscrk-23-1,RST,Hills Creek,FALSE,TRUE,,1.705,58.65,2.88,2.88,0,0.003759,,0.006349,0.006349,0,169,168,0,,60,,,,101,,25-30/<2,,1-Jan-23,,1681,43.689522,-122.446322,,!imported; ,1/14/2025,strat/sow,-2.72,,Klamath County,FALSE,0
MANE2,Mahonia nervosa,MANE2-RST-Hillscrk-2021-1,MANE2-RST-3035/<2-G0-1520-Hillscreek-2021-1,RST,Hills Creek,FALSE,TRUE,,1.27,78.74,17.81,17.81,0,0.0028,,0.039264,0.039264,0,1402,1402,0,,,,,,,,30-35/<2,,1-Jan-21,,1520,,,Willamette,!imported; ,5/5/2024,import,-4.58,,,FALSE,0
MARA7,Maianthemum racemosum,MARA-18-2017-2,MARA7-RST-3035/<2-G0-SFMCKENZIE-17,RST,SF McKenzie,FALSE,TRUE,,2.9,34.48,0,13.9,13.9,0.006393,,0,0.030644,0.030644,0,479,479,,95,,,,0,,30-35/<2,,1-Jan-17,,1200,,,Willamette,!imported; ,5/5/2024,import,-12.02,,,FALSE,0
MAST4,Maianthemum stellatum,MIST-12-2017-1,MAST4-RST-3035/<2-G0-NESTUCCA-17,RST,Nestucca,FALSE,TRUE,,3.86,25.91,38.23,38.23,0,0.00851,,0.084283,0.084283,0,991,990,0,,,,,,,,30-35/<2,,1-Jan-17,,1000,,,Siuslaw,!imported; ,2017,add (store),38.23,,,FALSE,0
MICU2,Mimulus cusickii,FHWA-0107-28,MICU2-01-FHWA-SO.CENTURY-07,RST,South Century,FALSE,TRUE,,0.004,25000,13.15,13.15,0,0.000009,,0.028991,0.028991,0,328750,328750,0,98,90,,,,295875,,15-20/3-6,,1-Jan-07,,4000,,,Deschutes,!imported; ,5/5/2024,import,-7.26,,,FALSE,0
MIGU,Mimulus guttatus,MIGU-2-2018-1,MIGU-RST-2025/3-6-G0-4100-KLAMATHLAKE-18,RST,Klamath Lake,FALSE,TRUE,,0.008,12500,0.38,0.38,0,0.000018,,0.000838,0.000838,0,4750,4750,0,,,,,,,,20-25/3-6,,1-Jan-18,,4100,42.381027,-121.970057,Fremont,!imported; ,5/5/2024,import,-0.02,,,FALSE,0
MOUN3,Monotropa uniflora,MOUN3-RST-Hillscrk-21-1,MOUN3-RST-3035/<2-G0-Hillscrk-1520-21-1,RST,Hills Creek,FALSE,TRUE,,0.004,25000,0.01,0.01,0,0.000009,,0.000022,0.000022,0,250,250,0,,,,,,,,30-35/<2,,1-Jan-21,,1520,,,,!imported; ,5/5/2024,import,-0.04,,,FALSE,0
OPHO,Oplopanax horridus,RST-WFL14-02,OPHO-RSTWFL-2530/48-100-G0-SUIATTLE-14,RST,Suiattle,FALSE,TRUE,,0.81,123.46,7.88,7.88,0,0.001786,,0.017372,0.017372,0,973,972,0,99,98,,,,954,,20-25/<2,,1-Jan-14,,,,,,!imported; ,5/5/2024,import,-9.22,,,FALSE,0
PECA16,Penstemon cardwellii,PECA16-RST-FLORWA-22-1,PECA16-RST-3035/<2-G0-20-38-FLORWA-22,RST,FLAP OR,FALSE,TRUE,,0.049,2040.82,227.17,227.17,0,0.000108,,0.500824,0.500824,0,463613,463613,0,,29,,,,134448,,30-35/<2,,1-Jan-22,,2900,,,,!imported; ,2022,add (store),227.17,,,TRUE,0
PECA16,Penstemon cardwellii,PECA16-MARYSPEAK-19-1,PECA16-RST-30-35/ <2 -G0-3800-MARYSPEAK-19,RST,Mary's Peak,FALSE,TRUE,,0.05,2000,30.87,30.87,0,0.00011,,0.068057,0.068057,0,61740,61740,0,,65,,,,40131,,30-35/<2,,1-Jan-19,,3800,,,Siuslaw,!imported; ,2019,add (store),30.87,,,FALSE,0
PECA16,Penstemon cardwellii,PECA16-MARYSPEAK-20-1,PECA16-RST-30-35/ <2 -G0-4000-MARYSPEAKSummit-20,RST,Mary's Peak,FALSE,TRUE,,0.05,2000,33.91,33.91,0,0.00011,,0.074759,0.074759,0,67820,67820,0,90,90,,,,61038,,30-35/<2,,1-Jan-20,,4000,,,Siuslaw,!imported; ,2/25/2025,strat/sow,-0.46,,Mary's Peak,FALSE,0
PEEU,Penstemon euglaucus,0114-32,PEEU-01-SKYLINE-47/55-BFI-14-10312779-14,RST,HWY 97,FALSE,TRUE,,0.02,5000,0,1.06,1.06,0.000044,,0,0.002337,0.002337,0,5300,5300,,80,,50,,0,,,,1-Jan-14,,5100,,,Deschutes,!imported from SS; ,5/5/2024,import,-2.2542,,,FALSE,0
PEHU,Penstemon humilis,PEHU-RST-OR97-22-1,PEHU-RST-20-25/3-6-G0-4100-OR97-22,RST,HWY 97,FALSE,TRUE,,0.03,3333.33,9.22,9.22,0,0.000066,,0.020327,0.020327,0,30733,30733,0,98,68,,,,20898,,20-25/3-6,,1-Jan-22,,4100,43.95499,-121.349216,Deschutes,!imported; ,5/5/2024,import,-1.58,,,FALSE,0
PHHA,Phacelia hastata,PHHA-RST-HILLSCREEK-23,PHHA-RST-3035/<2-G0-2370-HILLSCREEK-23,RST,Hills Creek,FALSE,TRUE,,0.11,909.09,0.234,0.234,0,0.000243,,0.000516,0.000516,0,213,212,0,99,98,,,,209,Cascades,30-35/<2,23-170,20-Sep-23,,2370,43.700047,-122.465112,,,10/22/2024,add (store),0.234,,Hills Creek,FALSE,0
PHLE4,Philadelphus lewisii,0110-25,PHLE4-01-674-01-100-30-LOWCANYONCR-10,RST,HWY 97,FALSE,TRUE,,0.004,25000,1.76,1.76,0,0.000009,,0.00388,0.00388,0,44000,44000,0,60,85,30,,,13200,,15-20/3-6,,1-Jan-10,,,,,Deschutes,!imported from SS; ,5/5/2024,import,0,,,FALSE,0
PHLE4,Philadelphus lewisii,PHELE4-RST-SFMCKENZIE-17-1,Delta campground SF MCK Uncleaned,RST,SF McKenzie,FALSE,TRUE,,0.004,25000,4.08,4.08,0,0.000009,,0.008995,0.008995,0,102000,102000,0,,75,,,,76500,,,,1-Jan-17,,1200,,,Willamette,!imported; ,5/5/2024,import,-0.13,,,FALSE,0
PHDI3,Phlox diffusa,PHDI3-RST-HCRHSTFEAST-23-1,PHDI3-RST-1520/3-6-G0-4607-HCRHSTFEAST-23-1,RST,HCRHST,FALSE,FALSE,,,,0,0,0,,,0,0,0,,,,,0,,,,,,15-20/3-6,,1-Jan-23,,4607,42.26,-121.78,,!imported; ,2023,add (store),0,,,FALSE,0
PHCH,Phoenicaulis cheiranthoides,PHCH-KLAMATHLAKES-19-1,PHCH-RST-2025/3-6-G0-4050-KLAMATHLAKE-19,RST,Klamath Lake,FALSE,TRUE,,0.59,169.49,24.71,24.71,0,0.001301,,0.054476,0.054476,0,4188,4188,0,,70,,,,2932,,20-25/3-6,,1-Jan-19,,4400,,,Fremont,!imported; ,1/14/2025,strat/sow,-1.77,,Klamath County,FALSE,0
PHCA11,Physocarpus capitatus,RST-WIL16-18,PHCA11-RST-3035/<2-G0-SFMckenzie-16,RST,SF McKenzie,FALSE,TRUE,,0.11,909.09,122.42,122.42,0,0.000243,,0.26989,0.26989,0,111291,111290,0,99,89,,,,99049,,30-35/<2,,1-Jan-16,,1200,,,Willamette,!imported; ,5/5/2024,import,-12.418,,,FALSE,0
PHCA11,Physocarpus capitatus,PHCA-12-2017-3,PHCA-RST-3035/<2-G0-NESTUCCA-17-3,RST,Nestucca,FALSE,TRUE,[appended source code PHCA-RST-3035/<2-G0-NESTUCCA-17 to make unique] ,0.16,625,0.59,0.59,0,0.000353,,0.001301,0.001301,0,369,368,0,,85,,,,314,,30-35/<2,,1-Jan-17,,800,,,Siuslaw,!imported; ,5/5/2024,import,-1.43,,,FALSE,0
PHCA11,Physocarpus capitatus,PHCA-12-2017-1,PHCA-RST-3035/<2-G0-NESTUCCA-17,RST,Nestucca,FALSE,TRUE,,0.1,1000,4.88,4.88,0,0.00022,,0.010759,0.010759,0,4880,4880,0,,76,,,,3709,,30-35/<2,,1-Jan-17,,800,,,Siuslaw,!imported; ,5/5/2024,import,-1.29,,,FALSE,0
PHCA11,Physocarpus capitatus,PHCA11-RST-HILLSCRK-2021-1,PHCA11-RST-3035/<2-1520-HILLSCREEK-21,RST,Hills Creek,FALSE,TRUE,,0.08,1250,1.54,1.54,0,0.000176,,0.003395,0.003395,0,1925,1925,0,,50,,,,962,,30-35/<2,,1-Jan-21,,1520,,,Willamette,!imported; ,2021,add (store),1.54,,,FALSE,0
PHCA11,Physocarpus capitatus,PHCA-18-2018-1,PHCA-RST-3035/<2-G0-SFMCKENZIE-18,RST,SF McKenzie,FALSE,TRUE,,0.07,1428.57,4.877,5.24,0.363,0.000154,,0.010752,0.011552,0.0008,6967,7485,519,,21,,,,1463,,30-35/<2,,1-Jan-18,,1200,44.163801,-122.27085,Siuslaw,!imported; ,2018,add (store),5.24,,,FALSE,0
PICO,Pinus contorta,0695-45,PICO-060-06015-100-4050-95-SIA,RST,Unassigned - RST,FALSE,TRUE,,0.424,235.85,0.17,0.17,0,0.000935,,0.000375,0.000375,0,40,40,0,,90,,,,36,,,,1-Jan-95,,4000,,,Mt. Hood,!imported; ,5/5/2024,import,-1.646,,,FALSE,0
PICO,Pinus contorta,0194-36,PICO-01-682-03100-55-94 SIA,RST,Powers,FALSE,TRUE,,0.53,188.68,0.45,0.45,0,0.001168,,0.000992,0.000992,0,85,84,0,,,,,,,,,,1-Jan-94,,,,,Deschutes,!imported from SS; ,5/5/2024,import,-0.548,,,FALSE,0
PIMO3,Pinus monticola,PIMO3-RST-1980-1,PIMO3-RST-1980-1,RST,Unassigned - RST,FALSE,TRUE,,1.9,52.63,19.07,19.07,0,0.004189,,0.042042,0.042042,0,1004,1003,0,,,,,,,,25-30/2-3,,1-Jan-80,,4000,,,Willamette,!imported; ,5/5/2024,import,-0.08,,,FALSE,0
PIPO,Pinus ponderosa,PIPO-15-xx-1,PIPO-RST-3035/ 2-3-G0-TILLERTRAILREROUTE-XX,RST,Tiller ReRoute,FALSE,TRUE,year unknown,5.55,18.02,14.46,14.46,0,0.012236,,0.031879,0.031879,0,261,260,0,,,,,,,,30-35/2-3,,1-Jan-24,,,,,Umpqua,!imported; ,2024,add (store),14.46,,,FALSE,0
PIPO,Pinus ponderosa,PIPO-BULK-BZ01035 Deer Run Seed orchard,PIPO-BULK-BZ01035 Deer Run Seed orchard,RST,Unassigned - RST,FALSE,TRUE,,7.12,14.04,721.11,721.11,0,0.015697,,1.589775,1.589775,0,10124,10124,0,,92,,,,9314,,,,1-Jan-19,,,,,Deschutes,!imported; ,2019,add (store),721.11,,,FALSE,0
PIPO,Pinus ponderosa,Jan-24,PIPO-01-675-050000-40-85-SIA,RST,Unassigned - RST,FALSE,TRUE,,5.16,19.38,31.99,31.99,0,0.011376,,0.070526,0.070526,0,620,619,0,,,,,,,,,,1-Jan-85,,,,,Deschutes,!imported from SS; ,5/5/2024,import,-17.95,,,FALSE,0
POMU,Polystichum munitum,POMU-RST- HILLSCRK-2021-1,POMU-RST-3035<2-G0-1400-hillscrk-21,RST,Hills Creek,FALSE,TRUE,,0.004,25000,1.66,1.66,0,0.000009,,0.00366,0.00366,0,41500,41500,0,,,,,,,,30-35/<2,,1-Jan-21,,1400,,,Willamette,!imported; ,5/5/2024,import,-0.01,,,FALSE,0
POMU,Polystichum munitum,POMU-RST-HCRHST-2021-1,POMU-RST-3035<2-G0-0700-HCRHST-21,RST,HCRHST,FALSE,TRUE,,,,1.38,1.38,0,,,0.003042,0.003042,0,,,,,,,,,,,30-35/<2,,1-Jan-21,,700,,,Mt. Hood,!imported; ,5/5/2024,import,-0.54,,,FALSE,0
POMU,Polystichum munitum,POMU-RST-MARYSPEAK-2020-1,POMU-RST-3035<2-G0-3600-MARYSPEAK-20,RST,Mary's Peak,FALSE,TRUE,,,,0.51,0.51,0,,,0.001124,0.001124,0,,,,100,,,,,,,30-35/<2,,1-Jan-20,,3600,44.507346,-123.573018,Siuslaw,!imported; ,2020,add (store),0.51,,,FALSE,0
POMU,Polystichum munitum,POMU-RST-HILLSCRK-23-1,POMU-RST-3035/<2-G0-1561-HILLSCRK-23-1,RST,Hills Creek,FALSE,TRUE,,,,0.291,0.291,0,,,0.000642,0.000642,0,,,,,,,,,,,30-35/<2,,1-Jan-23,,1561,43.691141,-122.445951,,!imported; ,5/5/2024,import,-0.01,,,FALSE,0
POMU,Polystichum munitum,POMU-RST-Giffordpinchot-2021-1,POMU-RST-2530/<2-G0-1600-Giffordpinchot-21-1,RST,Unassigned - RST,FALSE,TRUE,,0.004,25000,0.7,0.7,0,0.000009,,0.001543,0.001543,0,17500,17500,0,,,,,,,,25-30/<2,,1-Jan-21,,1600,,,,!imported; ,2021,add (store),0.7,,,FALSE,0
PRHO2,Prosartes hookeri,PRHO2-RST-HILLSCRK-2021-1,PRHO2-RST-3035/<2-G0-1500-HILLSCRK-2021-1,RST,Hills Creek,FALSE,TRUE,,0.23,434.78,1.98,1.98,0,0.000507,,0.004365,0.004365,0,861,860,0,,97,,,,835,,30-35/<2,,1-Jan-21,,1500,,,Willamette,!imported; ,2021,add (store),1.98,,,FALSE,0
PRSM,Prosartes smithii,PRSM-18-2018-1,PRSM-RST-3035/<2-G0-SFMCKENZIE-18,RST,SF McKenzie,FALSE,TRUE,,2.45,40.82,0,2.45,2.45,0.005401,,0,0.005401,0.005401,0,100,100,,100,,,,0,,30-35/<2,,1-Jan-18,,1600,44.163801,-122.27085,Willamette,!imported; ,2018,add (store),2.45,,,FALSE,0
PRSM,Prosartes smithii,PRSM-RST-HILLSCRK-2021-1,PRSM-RST-3035/<2-G0-1520-Hillscreek-2021-1,RST,Hills Creek,FALSE,TRUE,,1.15,86.96,4.94,4.94,0,0.002535,,0.010891,0.010891,0,430,429,0,,,,,,,,30-35/<2,,1-Jan-21,,1520,,,Willamette,!imported; ,2021,add (store),4.94,,,FALSE,0
PRVU,Prunella vulgaris,PRVU-12-2018-1,PRVU-RST-3035/<2-G0-NESTUCCA-18,RST,Nestucca,FALSE,TRUE,,0.08,1250,0.5,0.5,0,0.000176,,0.001102,0.001102,0,625,625,0,,,,,,,,30-35/<2,,1-Jan-18,,784,44.163801,-122.27085,Siuslaw,!imported; ,2018,add (store),0.5,,,FALSE,0
PRVU,Prunella vulgaris,PRVU-18-2018-1,PRVU-RST-3035/<2-G0-1600-SFMCKENZIE-18,RST,SF McKenzie,FALSE,TRUE,,0.12,833.33,0,21,21,0.000265,,0,0.046297,0.046297,0,17499,17500,,100,,,,0,,30-35/<2,,1-Jan-18,,1600,44.15698,-122.262326,Willamette,!imported; ,5/5/2024,import,-0.46,,,FALSE,0
PRVU,Prunella vulgaris,PRVU-RST-HILLSCRK-21-1,PRVU-RST-3035/<2-G0-1500-Hillscrk-21,RST,Hills Creek,FALSE,TRUE,,0.1,1000,1.14,1.14,0,0.00022,,0.002513,0.002513,0,1140,1140,0,,78,,,,889,,30-35/<2,,1-Jan-21,,1500,,,,!imported; ,2021,add (store),1.14,,,FALSE,0
PRVUL2,Prunella vulgaris ssp. lanceolata,RST19-28,PRVUL2-RST-XX/XX-G1+-XX-HERITAGE-19,RST,Cape Meares,FALSE,TRUE,,0.12,833.33,534.09,534.09,0,0.000265,,1.177467,1.177467,0,445073,445073,0,,95,,,,422819,,,,1-Jan-19,,,,,,!imported; ,4/22/2024,strat/sow,-0.56,,Cape Meares,FALSE,0
PREM,Prunus emarginata,PREM-RST-KLAMATHHWY-23-1,PREM-RST-2025/3-6-G0-4334-KLAMATHHWY-23-1,RST,Klamath HWY,FALSE,TRUE,,4.332,23.08,40.892,40.892,0,0.00955,,0.090151,0.090151,0,944,943,0,,97,,,,916,,20-25/3-6,,1-Jan-23,,4334,42.326222,-121.949455,,!imported; ,1/21/2025,strat/sow,-5.2,,Klamath County,FALSE,0
PRSU2,Prunus subcordata,PRSU2-KLAMATHLAKE-2018-1,PRSU2-RST-2025/3-6-G0-KLAMATHLAKES-18,RST,Klamath Lake,FALSE,TRUE,,41.77,2.39,121.48,121.48,0,0.092087,,0.267818,0.267818,0,290,290,0,,75,,,,218,,20-25/3-6,,1-Jan-18,,4300,42.227099,-121.797952,Fremont,!imported; ,5/5/2024,import,-150.05,,,FALSE,0
PRSU2,Prunus subcordata,PRSU2-KLAMATHLAKE-2019-1,PRSU2-RST-2025/3-6-G0-4200-KLAMATHLAKE-19,RST,Klamath Lake,FALSE,TRUE,,62.57,1.6,60.19,60.19,0,0.137943,,0.132696,0.132696,0,96,96,0,,80,,,,77,,20-25/3-6,,1-Jan-19,,4300,42.227099,-121.797952,Fremont,!imported; ,1/14/2025,strat/sow,-46.92,,Klamath County,FALSE,0
PRSU2,Prunus subcordata,PRSU2-KLAMATHLAKE-2018-2,PRSU2-RST-2025/3-6-G0-KLAMATHLAKES-18-2,RST,Klamath Lake,FALSE,TRUE,[appended source code PRSU2-RST-2025/3-6-G0-KLAMATHLAKES-18 to make unique] ,39.35,2.54,324.19,324.19,0,0.086752,,0.714717,0.714717,0,823,823,0,99,61,,,,502,,20-25/3-6,,1-Jan-18,,4300,,,Fremont,!imported; ,5/5/2024,import,-2.39,,,FALSE,0
PRVI,Prunus virginiana,PRVI-RST-KLAMATHLAKE-2018-1,PRVI-RST-2025/3-6-G0-KLAMATHLAKES-18,RST,Klamath Lake,FALSE,TRUE,,13.89,7.2,799.91,799.91,0,0.030622,,1.7635,1.7635,0,5759,5759,0,,96,,,,5529,,20-25/3-6,,1-Jan-18,,4100,42.220992,-121.797952,Fremont,!imported; ,5/5/2024,import,-427.82,,,FALSE,0
PRVI,Prunus virginiana,PRVI-RST-KLAMATHHWY-23-1,PRVI-RST-2025/6-12-G0-4153-KLAMATHHWY-23-1,RST,Klamath HWY,FALSE,TRUE,,19.47,5.14,100.05,100.05,0,0.042924,,0.220572,0.220572,0,514,514,0,,95,,,,488,,20-25/6-12,,1-Jan-23,,4153,42.23367,-121.812545,,!imported; ,1/14/2025,strat/sow,-23.36,,Klamath County,FALSE,0
